id_sklepu;poniedzialek;wtorek;sroda;czwartek;piatek;sobota;niedziela
1;06:00-23:00;06:00-23:00;06:00-23:00;06:00-23:00;06:00-23:00;06:00-23:00;07:00-21:00
2;05:00-23:30;05:00-23:30;05:00-23:30;05:00-23:30;05:00-23:30;05:00-23:30;06:00-21:00
3;05:00-23:30;05:00-23:30;05:00-23:30;05:00-23:30;05:00-23:30;05:00-23:30;09:00-20:00
4;06:00-23:30;06:00-23:30;06:00-23:30;06:00-23:30;06:00-23:30;06:00-23:00;09:00-20:00
5;06:00-22:00;06:00-22:00;06:00-22:00;06:00-22:00;06:00-23:00;06:00-23:00;08:00-20:00
6;06:30-22:00;06:30-22:00;06:30-22:00;06:30-22:00;06:30-22:00;06:30-22:00;08:00-20:00
7;06:00-22:00;06:00-22:00;06:00-22:00;06:00-22:00;06:00-23:00;06:00-23:00;08:00-20:00
8;06:00-22:00;06:00-22:00;06:00-22:00;06:00-22:00;06:00-23:00;06:00-23:00;08:00-20:00
9;06:00-23:00;06:00-23:00;06:00-23:00;06:00-23:00;06:00-23:00;06:00-23:00;09:00-20:00
10;06:00-22:30;06:00-22:30;06:00-22:30;06:00-22:30;06:00-22:30;06:00-22:30;09:00-20:00
11;06:00-22:00;06:00-22:00;06:00-22:00;06:00-22:00;06:00-22:00;06:00-22:00;09:00-20:00
12;06:00-22:00;06:00-22:00;06:00-22:00;06:00-22:00;06:00-22:00;06:00-22:00;09:00-20:00
13;06:00-21:00;06:00-21:00;06:00-21:00;06:00-21:00;06:00-21:00;06:00-21:00;08:00-20:00
14;06:00-23:00;06:00-23:00;06:00-23:00;06:00-23:00;06:00-23:00;06:00-23:00;07:00-21:00
15;06:00-22:00;06:00-22:00;06:00-22:00;06:00-22:00;06:00-22:00;06:00-22:00;07:00-21:00
16;07:00-21:00;07:00-21:00;07:00-23:30;07:00-23:30;07:00-23:30;06:00-21:00;08:00-20:00
17;06:00-22:00;06:00-22:00;06:00-22:00;06:00-22:00;06:00-22:00;06:00-22:00;08:00-21:00
18;06:00-22:00;06:00-22:00;06:00-22:00;06:00-22:00;06:00-23:00;06:00-23:00;08:00-21:00
19;05:00-22:00;05:00-22:00;05:00-22:00;05:00-22:00;05:00-22:00;05:00-22:00;07:00-21:00
20;05:00-22:00;05:00-22:00;05:00-22:00;05:00-22:00;05:00-22:00;05:00-22:00;07:00-21:00
21;06:00-22:00;06:00-22:00;06:00-22:00;06:00-22:00;06:00-22:00;06:00-22:00;07:00-21:00
22;09:00-20:00;09:00-20:00;09:00-20:00;09:00-20:00;09:00-20:00;09:00-20:00;09:00-20:00
23;06:00-22:30;06:00-22:30;06:00-22:30;06:00-22:30;06:00-22:30;06:00-22:30;08:00-20:00
24;06:00-23:00;06:00-23:00;06:00-23:00;06:00-23:00;06:00-23:00;06:00-23:00;09:00-20:00
