id_gminy;id_sklepu;kod_pocztowy;ulica
611032;1;21-412;Zagłoby 3
611032;2;06-320;Antoniego Madalińskiego 48
401042;3;87-700;J. Słowackiego 28c
401042;4;87-700;G. Narutowicza 8A
401042;5;62-540;aleja 600-lecia 23
401042;6;66-540;Kościuszki 46
401042;7;73-108;Szczecińska 1
1020043;8;95-069;Konstantynowska 5/7
1203013;9;32-566;A. Mickiewicza 15a
1218013;10;34-120;Krakowska 83
607023;11;23-235;Radomska 28a
2001011;12;16-300;Mazurska 10
2001011;13;16-300;Sucharskiego 2
2001011;14;16-300;Chreptowicza 15
2001011;15;16-300;Przemysłowa 2
1203022;16;32-551;Zakopiańska 47
809013;17;66-110;Lotnicza 3
1602013;18;48-120;Wiejska 2a
3206012;19;74-110;Dworcowa 5
2818012;20;19-520;Jasna 2
1415012;21;62-081;Szamotulska 26
419013;22;88-190;Polna 2
2814013;23;11-010;Wojska Polskiego 1a
224013;24;57-256;Kolejowa 22
3210013;25;74-320;Żabia 7
3210013;26;74-320;Kombatantów 4
2801011;27;11-200;Kętrzyńska 20
2801011;28;11-200;Warszawska 29
2801011;29;11-201;Generała Józefa Bema 40c
2801011;30;11-200;Piersele 26
3215023;31;78-460;Zielona 2
1001011;32;97-400;Kwiatowa 1/3
1001011;33;97-400;Czyżewskiego 1
1001011;34;97-400;Osiedle Dolnośląskie 341a
1001011;35;97-400;Pabianicka 22
1001011;36;97-400;Wojska Polskiego 8
1001011;37;97-400;Okrzei 35/39
1001011;38;97-400;Armii Krajowej 7
609013;39;24-200;Fabryczna 6
1610013;40;48-210;Opolska 1a
1610013;41;98-350;Biała-Parcela 13
2816013;42;12-230;J. Słowackiego 1
661000;43;21-500;Warszawska 34-38
661000;44;21-500;Przechodnia 8
661000;45;21-500;Sidorska 2K
661000;46;21-500;Kąpielowa 3
661000;47;21-500;Anny Jagiellonki 1
661000;48;21-500;Orzechowa 2a
661000;49;21-500;Sidorska 100
661000;50;21-500;Brzeska 27
661000;51;21-500;Janowska 54
1013023;52;96-230;Mickiewicza 19
403012;53;86-005;Szubińska 8
1401013;54;26-800;Krakowska 88
1401013;55;37-114;Białobrzegi 56A
3201011;56;78-200;Świdwińska 15
3201011;57;78-200;Mickiewicza 17
3201011;58;78-200;Staromiejska 29
3201011;59;78-200;Drzymały 27
3215033;60;78-425;Dworcowa 3
2061000;61;15-008;Ryska 1
2061000;62;15-008;Wyszyńskiego 21
2061000;63;15-207;Piastowska 25
2061000;64;15-634;Klepacka 2/1
2061000;65;15-845;Antoniukowska 56
2061000;66;15-657;J. Popiełuszki 111A
2061000;67;15-399;Transportowa 8
2061000;68;15-111;Aleja 1000-lecia Państwa Polskiego 10
2061000;69;15-763;Ogrodniczki 2
2061000;70;15-453;Nowy Świat 3/lok U4
2061000;71;15-794;Gajowa 116
2061000;72;15-866;Radzymińska 12
2061000;73;15-057;Bolesława Chrobrego 16a
2061000;74;15-354;Pogodna 35
2061000;75;15-448;Żabia 20
2061000;76;15-732;Choroszczańska 24
2061000;77;15-668;Upalna 3
2061000;78;15-585;Zabłudowska 52
2061000;79;15-690;Narodowych Sił Zbrojnych 13
2061000;80;15-762;Antoniuk Fabryczny 58
2061000;81;15-324;Kawaleryjska 66
2061000;82;15-644;Wrocławska 15
2061000;83;15-181;42 Pułku Piechoty 34
2061000;84;15-685;Bacieczki 217
2061000;85;15-540;Wiewiórcza 51
2061000;86;15-375;Kaczorowskiego 7
2061000;87;15-161;Trawiasta 2
2061000;88;15-111;Aleja 1000-lecia Państwa Polskiego 8
2061000;89;15-501;Baranowicka 121
2061000;90;15-206;Nowowarszawska 10
2061000;91;15-483;Fabryczna 4
2061000;92;17-100;Orlańska 1
2061000;93;15-277;Świętojańska 15
1205023;94;38-340;Kazimierza Wielkiego 26
202011;95;58-260;Wolności 67
202011;96;58-260;1 Maja 37
202011;97;58-260;Wojska Polskiego 39
