id_gminy;id_sklepu;kod_pocztowy;ulica
201011;1;59-700;Chrobrego 25/27
201011;2;59-700;Wróblewskiego 4a i 4b
201011;3;59-700;Mostowa 2
201011;4;59-700;Gałczyńskiego 15
201011;5;59-700;Komuny Paryskiej 25a
201011;6;59-700;Tysiąclecia 43
201011;7;59-700;Wesoła 23b
201011;8;59-700;Asnyka 1
201022;9;59-700;Chrobrego 25/27
201022;10;59-700;Wróblewskiego 4a i 4b
201022;11;59-700;Mostowa 2
201022;12;59-700;Gałczyńskiego 15
201022;13;59-700;Komuny Paryskiej 25a
201022;14;59-700;Tysiąclecia 43
201022;15;59-700;Wesoła 23b
201022;16;59-700;Asnyka 1
201043;17;59-730;Adama Asnyka 62
202011;18;58-260;Wolności 67
202011;19;58-260;1 Maja 37
202011;20;58-260;Wojska Polskiego 39
202011;21;58-260;Lipowa 3
202021;22;58-200;Piłsudskiego 18
202021;23;58-200;Os. Różane 23
202021;24;58-200;M. Kopernika 15
202021;25;58-200;Piastowska 15
202033;26;58-250;Ogrodowa 20A
202041;27;58-240;Piastowska 52A
202052;28;58-200;Piłsudskiego 18
202052;29;58-200;Os. Różane 23
202052;30;58-200;M. Kopernika 15
202052;31;58-200;Piastowska 15
202062;32;58-210;Przemysłowa 2
202073;33;58-230;B. Chrobrego 54
204013;34;56-200;al. Jagiellonów 8
204043;35;56-210;Rawicka 24
205011;36;59-400;Limanowskiego 13
205011;37;59-400;Piłsudskiego 7-8
205011;38;59-400;Słowackiego 44
205023;39;59-420;H. Sienkiewicza 16
206011;40;58-540;Konstytucji  3 Maja 45A
206011;41;58-540;Konstytucji  3 Maja 5
206021;42;58-530;J. Matejki 3
206031;43;58-573;Cmentarna 1
206041;44;58-580;Kilińskiego 11
206072;45;58-533;Szkolna 17
206082;46;58-562;Bojki 5
207011;47;58-400;Wałbrzyska 25
207011;48;58-400;Nadrzeczna 1B
207011;49;58-400;Waryńskiego 11A
207022;50;58-400;Wałbrzyska 25
207022;51;58-400;Nadrzeczna 1B
207022;52;58-400;Waryńskiego 11A
207033;53;58-420;Kamiennogórska 39
208021;54;57-300;Grunwaldzka 8
208021;55;57-300;Noworudzka 2
208021;56;57-300;Dusznicka 1b
208031;57;57-350;Zdrojowa 33
208031;58;57-350;Główna 42C
208041;59;57-400;Teatralna 18
208041;60;57-402;Słupiecka 7a
208041;61;57-400;Marsz. J. Piłsudskiego 33a
208051;62;57-320;Kłodzka 3
208063;63;57-500;Strażacka 8
208072;64;57-300;Grunwaldzka 8
208072;65;57-300;Noworudzka 2
208072;66;57-300;Dusznicka 1b
208083;67;57-540;Śnieżna 45
208103;68;57-530;Warszawska 2A
208112;69;57-400;Teatralna 18
208112;70;57-402;Słupiecka 7a
208112;71;57-400;Marsz. J. Piłsudskiego 33a
208133;72;57-550;Kościuszki 11b 11B
208143;73;57-330;Słoneczna 110
209011;74;59-225;Kolejowa 6
209011;75;59-225;Legnicka 25
209022;76;59-225;Kolejowa 6
209022;77;59-225;Legnicka 25
209073;78;59-230;Antoniego Rymszy 1
210011;79;59-800;Dąbrowskiego 2
210011;80;59-800;Robotnicza 11c
210011;81;59-800;Esperantystów 1C
210021;82;59-850;11 Listopada 26
210033;83;59-820;Baworowo 65B
210042;84;59-800;Dąbrowskiego 2
210042;85;59-800;Robotnicza 11c
210042;86;59-800;Esperantystów 1C
210053;87;59-830;Wolnosci 38
211011;88;59-300;Wyszyńskiego 8
211011;89;59-300;Jana Pawła II 78
211011;90;59-300;Kościuszki 12
211011;91;59-300;Bema 1
211011;92;59-300;Szpakowa 4
211011;93;59-300;Wrocławska 7
211011;94;59-300;Leszczynowa 27c
211011;95;59-335;Budowniczych LGOM 24
211011;96;59-300;Legnicka 65
211011;97;59-300;Miroszowicka 6
211022;98;59-300;Wyszyńskiego 8
211022;99;59-300;Jana Pawła II 78
211022;100;59-300;Kościuszki 12
211022;101;59-300;Bema 1
211022;102;59-300;Szpakowa 4
211022;103;59-300;Wrocławska 7
211022;104;59-300;Leszczynowa 27c
211022;105;59-335;Budowniczych LGOM 24
211022;106;59-300;Legnicka 65
211022;107;59-300;Miroszowicka 6
211032;108;59-305;Krochmalna 1B
211043;109;59-330;W. Jagiełły 69
212013;110;59-620;Kolejowa 40
212033;111;59-600;E. Orzeszkowej 17
212033;112;59-600;Oświęcimska 3
212033;113;59-600;Jaśkiewicza 4
212043;114;59-630;W. Sikorskiego 3A
213022;115;56-320;Szkolna 1
213033;116;56-300;Armii Krajowej 16-18
213033;117;56-300;Trzebnicka 4a
213033;118;56-300;Krotoszyńska 5
214011;119;56-400;Kilińskiego 4-4b
214011;120;56-400;ul. 3 Maja 39
214011;121;56-400;Wojska Polskiego 32
214011;122;56-400;Wrocławska 17
214023;123;56-420;Słowackiego 20
214032;124;56-410;Trzebnicka 22
214053;125;56-513;Wrocławska 67
214062;126;56-400;Kilińskiego 4-4b
214062;127;56-400;ul. 3 Maja 39
214062;128;56-400;Wojska Polskiego 32
214062;129;56-400;Wrocławska 17
214073;130;56-500;Kolejowa 2a
214073;131;56-501;Kaliska 52
214083;132;56-416;1 Maja 17
214083;133;56-416;Wielkopolska 5
215011;134;55-200;Kilińskiego 2a
215011;135;55-200;3 Maja 2c
215011;136;55-200;Kutrowskiego 48
215011;137;55-200;3 Maja 51A
215011;138;55-200;Nowy Otok 11
215033;139;55-230;Oławska 27
215033;140;55-220;Sowia 17
215042;141;55-200;Kilińskiego 2a
215042;142;55-200;3 Maja 2c
215042;143;55-200;Kutrowskiego 48
215042;144;55-200;3 Maja 51A
215042;145;55-200;Nowy Otok 11
216013;146;59-140;Rotmistrza Witolda Pileckiego 4a
216043;147;59-100;Ogrodowa 5
216043;148;59-100;Dąbrowskiego 5
216043;149;59-100;Młyńska 2a
216053;150;59-170;Szprotawska 1A
216062;151;55-010;Słoneczna 27
216062;152;59-160;Mechaniczna 1G
217043;153;57-100;Dzierżoniowska 16A
217043;154;57-100;Okulickiego 4
218032;155;55-330;Wrocławska 1
218043;156;55-300;Legnicka 27
219011;157;58-100;ul. Henryka Pobożnego 3
219011;158;58-100;Zamenhofa 2
219011;159;58-100;Wróblewskiego 1a-1b
219011;160;58-100;Okrężna 41
219011;161;58-100;Głowackiego 28
219011;162;58-100;Przemysłowa 2
219011;163;58-100;Trybunalska 11-13
219011;164;58-100;Kliczkowska 22
219021;165;58-160;Strzegomska 15
219021;166;58-160;Wałbrzyska 35
219021;167;58-160;Łączna 43
219043;168;58-140;1 Maja 1
219052;169;58-124;Świdnicka 12
219063;170;58-150;Legnicka 16-18
219063;171;58-150;Paderewskiego 26
219063;172;58-150;Wojska Polskiego 80f
219072;173;58-100;ul. Henryka Pobożnego 3
219072;174;58-100;Zamenhofa 2
219072;175;58-100;Wróblewskiego 1a-1b
219072;176;58-100;Okrężna 41
219072;177;58-100;Głowackiego 28
219072;178;58-100;Przemysłowa 2
219072;179;58-100;Trybunalska 11-13
219072;180;58-100;Kliczkowska 22
219083;181;58-130;Armii Krajowej 11B
220013;182;55-120;Wrocławska 29-31
220023;183;55-110;Wrocławska 67
220033;184;55-100;Bolesława Chrobrego 4
220033;185;55-100;Siostry Hilgi Brzoski 2
220052;186;55-106;Swobodna 2
220063;187;55-140;Sportowa 22
221011;188;58-371;Traugutta 20
221011;189;58-370;Strażacka 7
221011;190;58-370;Wałbrzyska 8
221021;191;58-330;Piastowska 9
221031;192;58-310;Solicka 21
221031;193;58-310;Szczawieńska 6
221053;194;58-340;Grunwaldzka 16A
221063;195;58-350;Wolności 25
222013;196;56-120;Al. Jerozolimskie 37
222013;197;56-120;Dębowa 1a
222033;198;56-100;Ludowa 3
222033;199;56-100;Objazdowa 1
223022;200;55-095;Wiejska 64
223043;201;55-080;Nowowiejska 2
223052;202;55-040;Robotnicza 59
223073;203;55-050;Warszawska 4A
223083;204;55-011;Osiedlowa 18
223092;205;55-020;Wrocławska 3c
224013;206;57-256;Kolejowa 22
224053;207;57-200;1 Maja 9a
224053;208;57-200;Piastowska 18
224053;209;57-200;Jasna 19
224053;210;57-200;Wrocławska 31a
224063;211;57-220;Stawowa 2b
224073;212;57-250;Działkowa 8
225011;213;59-970;M .Kopernika 1
225021;214;59-900;Iwaszkiewicza 3
225021;215;59-900;Lubańska 10B
225021;216;59-900;Grunwaldzka 1
225021;217;59-900;Armii Krajowej 30
225021;218;59-900;Warszawska 27A
225033;219;59-920;I Armii Wojska Polskiego 10
225033;220;59-920;Dworcowa 2
225033;221;59-920;Matejki 64
225043;222;59-930;R. Traugutta 2
225063;223;59-940;J. Piłsudskiego 23
225072;224;59-900;Iwaszkiewicza 3
225072;225;59-900;Lubańska 10B
225072;226;59-900;Grunwaldzka 1
225072;227;59-900;Armii Krajowej 30
225072;228;59-900;Warszawska 27A
226011;229;59-550;Kościelna 26
226021;230;59-500;Staromiejska 1
226021;231;59-500;Hoża 11A
226021;232;59-500;Legnicka 19a
226032;233;59-524;Pielgrzymka 107D
226043;234;59-540;Jeleniogórska 41
226062;235;59-500;Staromiejska 1
226062;236;59-500;Hoża 11A
226062;237;59-500;Legnicka 19a
261000;238;58-560;Wita Stwosza 17
261000;239;58-506;Wiejska 24
261000;240;58-500;Wolności 25A
261000;241;58-500;1 Maja 49
261000;242;58-506;Jana Pawła 31a
261000;243;58-506;Elsnera 1a
261000;244;58-560;Krośnieńska 1B
261000;245;58-570;Cieplicka 217
261000;246;58-500;Głowackiego 1
261000;247;58-506;Wrocławska 73
261000;248;58-500;Sudecka 42A
261000;249;58-500;Jana III Sobieskiego 58
262000;250;59-220;Górnicza 1a
262000;251;59-200;Asnyka 27
262000;252;59-200;Jagiellońska 19
262000;253;59-220;E. Orzeszkowej 29
262000;254;59-220;Rzeczpospolitej 14
262000;255;59-220;Gwiezdna 3
262000;256;59-220;Jaworzyńska 257
262000;257;59-220;W. Sikorskiego 3
262000;258;59-204;Jaworzyńska 17-19
262000;259;59-220;Dworcowa 5
262000;260;59-220;Bieszczadzka 2
262000;261;59-220;Złotoryjska 170a
264000;262;54-002;Trzmielowicka 7/9
264000;263;54-155;Lotnicza 24
264000;264;54-017;Średzka 32/34
264000;265;53-344;Komandorska 147
264000;266;53-022;Wawrzyniaka 2
264000;267;50-541;Armii Krajowej 37
264000;268;53-019;Krzycka 45A
264000;269;51-206;Wilanowska 25
264000;270;51-114;Bezpieczna 19
264000;271;50-315;Nowowiejska 48
264000;272;50-261;Jedności Narodowej 72/80
264000;273;54-117;Królewiecka 68
264000;274;50-424;Krakowska 1
264000;275;50-552;Borowska 114
264000;276;52-233;Parafialna 21
264000;277;52-438;Solskiego 46-48
264000;278;51-165;B. Krzywoustego 40
264000;279;51-180;Sułowska 7
264000;280;51-649;Marcellego Bacciarellego 56
264000;281;54-238;Popowicka 134
264000;282;54-432;Strzegomska 194
264000;283;53-429;Żelazna 54/56
264000;284;52-117;Afgańska 3
264000;285;50-541;Aleja Armii Krajowej 41
264000;286;50-421;Szybka 2/4
264000;287;52-210;Pszczelarska 9
264000;288;53-238;Pretficza 37
264000;289;53-138;Powstańców Śląskich 159
264000;290;51-315;Kiełczowska 137a
264000;291;51-315;Kiełczowska 66d
264000;292;51-212;Przedwiośnie 1
264000;293;50-053;Szewska 6/7
264000;294;50-384;Pl. Grunwaldzki 12-14
264000;295;53-523;Zielińskiego 61
264000;296;54-152;Kozanowska 2
264000;297;54-130;Horbaczewskiego 22
264000;298;53-033;Zwycięska 9-23
264000;299;54-620;Gagarina 19
264000;300;52-129;Sarnia 1
264000;301;54-215;Bystrzycka 55
264000;302;51-518;Strachocińska 192
264000;303;50-518;Św. Jerzego 2
264000;304;54-510;Żernicka 207
264000;305;54-440;Rogowska 119
264000;306;50-083;pl. Konstytucji 3 Maja 3
264000;307;50-350;Benedyktyńska 15
264000;308;51-618;Zygmunta Wróblewskiego 7a
264000;309;54-203;Legnicka 57
264000;310;50-085;Piłsudskiego 105
264000;311;50-208;Stanisława Dubois 9
264000;312;50-079;Grabarska 2
264000;313;50-086;Sucha 1
264000;314;50-024;Świdnicka 40
264000;315;54-142;Dokerska 2a
