id_gminy;id_sklepu;kod_pocztowy;ulica
1020043;1;95-069;Konstantynowska 5/7
1203013;2;32-566;A. Mickiewicza 15a
1218013;3;34-120;Krakowska 83
607023;4;23-235;Radomska 28a
2001011;5;16-300;Mazurska 10
2001011;6;16-300;Sucharskiego 2
2001011;7;16-300;Chreptowicza 15
2001011;8;16-300;Przemysłowa 2
1203022;9;32-551;Zakopiańska 47
809013;10;66-110;Lotnicza 3
1602013;11;48-120;Wiejska 2a
3206012;12;74-110;Dworcowa 5
2818012;13;19-520;Jasna 2
419013;14;88-190;Polna 2
2814013;15;11-010;Wojska Polskiego 1a
224013;16;57-256;Kolejowa 22
3210013;17;74-320;Żabia 7
3210013;18;74-320;Kombatantów 4
2801011;19;11-200;Kętrzyńska 20
2801011;20;11-200;Warszawska 29
2801011;21;11-201;Generała Józefa Bema 40c
2801011;22;11-200;Piersele 26
3215023;23;78-460;Zielona 2
1001011;24;97-400;Kwiatowa 1/3
1001011;25;97-400;Czyżewskiego 1
1001011;26;97-400;Osiedle Dolnośląskie 341a
1001011;27;97-400;Pabianicka 22
1001011;28;97-400;Wojska Polskiego 8
1001011;29;97-400;Okrzei 35/39
1001011;30;97-400;Armii Krajowej 7
609013;31;24-200;Fabryczna 6
2816013;32;12-230;J. Słowackiego 1
601032;33;21-500;Warszawska 34-38
601032;34;21-500;Przechodnia 8
601032;35;21-500;Sidorska 2K
601032;36;21-500;Kąpielowa 3
601032;37;21-500;Anny Jagiellonki 1
601032;38;21-500;Orzechowa 2a
601032;39;21-500;Sidorska 100
601032;40;21-500;Brzeska 27
601032;41;21-500;Janowska 54
1013023;42;96-230;Mickiewicza 19
403012;43;86-005;Szubińska 8
3201011;44;78-200;Świdwińska 15
3201011;45;78-200;Mickiewicza 17
3201011;46;78-200;Staromiejska 29
3201011;47;78-200;Drzymały 27
3215033;48;78-425;Dworcowa 3
2061000;49;15-008;Ryska 1
2061000;50;15-008;Wyszyńskiego 21
2061000;51;15-207;Piastowska 25
2061000;52;15-634;Klepacka 2/1
2061000;53;15-845;Antoniukowska 56
2061000;54;15-657;J. Popiełuszki 111A
2061000;55;15-399;Transportowa 8
2061000;56;15-111;Aleja 1000-lecia Państwa Polskiego 10
2061000;57;15-763;Ogrodniczki 2
2061000;58;15-453;Nowy Świat 3/lok U4
2061000;59;15-794;Gajowa 116
2061000;60;15-866;Radzymińska 12
2061000;61;15-057;Bolesława Chrobrego 16a
2061000;62;15-354;Pogodna 35
2061000;63;15-448;Żabia 20
2061000;64;15-732;Choroszczańska 24
2061000;65;15-668;Upalna 3
2061000;66;15-585;Zabłudowska 52
2061000;67;15-690;Narodowych Sił Zbrojnych 13
2061000;68;15-762;Antoniuk Fabryczny 58
2061000;69;15-324;Kawaleryjska 66
2061000;70;15-644;Wrocławska 15
2061000;71;15-181;42 Pułku Piechoty 34
2061000;72;15-685;Bacieczki 217
2061000;73;15-540;Wiewiórcza 51
2061000;74;15-375;Kaczorowskiego 7
2061000;75;15-161;Trawiasta 2
2061000;76;15-111;Aleja 1000-lecia Państwa Polskiego 8
2061000;77;15-501;Baranowicka 121
2061000;78;15-206;Nowowarszawska 10
2061000;79;15-483;Fabryczna 4
2061000;80;17-100;Orlańska 1
2061000;81;15-277;Świętojańska 15
1205023;82;38-340;Kazimierza Wielkiego 26
202011;83;58-260;Wolności 67
202011;84;58-260;1 Maja 37
202011;85;58-260;Wojska Polskiego 39
202011;86;58-260;Lipowa 3
1419012;87;09-230;Płocka 28
2003011;88;17-100;Szkolna 2
2003011;89;17-100;Piłsudskiego 54
2461000;90;43-346;Komorowicka 336b
2461000;91;43-300;Żywiecka 115
2461000;92;43-300;Pięciu Stawów 6
2461000;93;43-316;Partyzantów 156
2461000;94;43-300;Stawowa 4
2461000;95;43-300;Mostowa 5
2461000;96;43-300;Cyniarska 26
2461000;97;43-300;Grabowa 1
2461000;98;43-300;Kamienicka 2A
2461000;99;43-382;Cieszyńska 418
2461000;100;43-316;Kolista 21
214023;101;56-420;Słowackiego 20
1219012;102;32-020;Biskupice 361
2812022;103;11-300;1 Maja 24
2812022;104;11-300;Plażowa 2
2812022;105;13-340;Jesionowa 2
602011;106;23-400;T. Kościuszki 156
602011;107;23-400;Włosiankarska 2
602011;108;23-400;3 Maja 13
2404013;109;42-290;Miodowa 2
2610022;110;26-120;Kościuszki 149
3209033;111;76-020;Zwycięstwa 7
1205033;112;38-350;Grunwaldzka 50
1201011;113;32-700;Wiśnicka 16
1201011;114;32-700;Krzeczowska 16
2604023;115;26-010;Opatowska 65
225033;116;59-920;I Armii Wojska Polskiego 10
225033;117;59-920;Dworcowa 2
225033;118;59-920;Matejki 64
1816033;119;36-040;Przemysłowa 3B
221011;120;58-371;Traugutta 20
221011;121;58-370;Strażacka 7
221011;122;58-370;Wałbrzyska 8
3022013;123;63-940;Gołaszyn 75
201011;124;59-700;Chrobrego 25/27
201011;125;59-700;Wróblewskiego 4a i 4b
201011;126;59-700;Mostowa 2
201011;127;59-700;Gałczyńskiego 15
201011;128;59-700;Komuny Paryskiej 25a
201011;129;59-700;Tysiąclecia 43
201011;130;59-700;Wesoła 23b
201011;131;59-700;Asnyka 1
205023;132;59-420;H. Sienkiewicza 16
3004013;133;63-810;M. Konopnickiej 24
3215043;134;78-449;Aleja Niepodległości 43
1602022;135;48-140;Żymierskiego 57a
1602022;136;48-140;Młyńska 1
2802011;137;14-500;Piłsudskiego 1
2802011;138;14-500;Sikorskiego 1
2802011;139;14-500;Wojska Polskiego 9
2003021;140;17-120;Armii Krajowej 16c
2403042;141;43-438;Wyzwolenia 38B
402011;142;87-300;Kolejowa 1a
402011;143;87-300;Gen. Stanisława Maczka 2
402011;144;87-300;Mazurska 5/7
402011;145;87-300;Władysława Łokietka 1
2202023;146;89-632;Wojska Polskiego 56
1421033;147;05-805;Warszawska 1
1601011;148;49-300;Chocimska 7
1601011;149;49-300;Długa 2
1601011;150;49-305;Słowackiego 31
1601011;151;49-300;Łokietka 4
222013;152;56-120;Al. Jerozolimskie 37
222013;153;56-120;Dębowa 1a
1202023;154;32-800;Solskiego 14A
1202023;155;32-800;Pomianowska 2b
1202023;156;32-800;Osiedle Władysława Jagiełły 15
1213023;157;32-620;Ofiar Oświęcimia 31
1021011;158;95-060;Modrzewskiego 4
1021011;159;95-060;Kościuszki 9
418043;160;87-880;Kolejowa 8
1014042;161;98-275;Wspólna 38
1803023;162;39-230;Mysłowskiego 5A
1802013;163;36-200;Bema 2
2402032;164;43-374;Wyzwolenia 491A
3001023;165;64-840;Dworcowa 17a
3021033;166;64-320;Jana Pawła II 20
1212011;167;32-332;Kolejowa 5
2601013;168;28-100;Mickiewicza 14a
2601013;169;28-102;Nadole 2
609033;170;23-100;Szkolna 2
609033;171;23-100;Sienkiewicza 94b
461000;172;85-791;F. Kleeberga 2d
461000;173;85-060;Sobieskiego 5
461000;174;85-645;Dwernickiego 9
461000;175;85-090;Powstańców Wielkopolskich 56
461000;176;85-091;Sportowa 15
461000;177;85-239;Grunwaldzka 37
461000;178;85-168;Ujejskiego 61
461000;179;85-010;Dworcowa 46
461000;180;85-099;Curie-Skłodowskiej 29
461000;181;85-425;Flisacka 2
461000;182;85-737;Łęczycka 33
461000;183;85-791;Andersa 51
461000;184;85-078;Kościuszki 27
461000;185;85-130;Grudziądzka 27/29
461000;186;85-790;Wyzwolenia 106
461000;187;85-315;Schulza 7
461000;188;85-856;Ku Wiatrakom 42
461000;189;85-153;Inowrocławska 1a
461000;190;85-504;Saperów 45/5
461000;191;85-433;św. M. Kolbego 58
461000;192;85-811;Kąkolowa 1
461000;193;85-124;Konopnickiej 2
461000;194;85-790;Bydgoska 31-33
461000;195;85-307;Kossaka 17
461000;196;85-021;Gdańska 138
461000;197;85-236;Grunwaldzka 8
461000;198;85-791;Skarżyńskiego 6
461000;199;85-310;Żwirki i Wigury 11C
461000;200;85-310;Mostowa 2
461000;201;85-438;Grunwaldzka 284
461000;202;85-087;Gajowa 7
461000;203;85-849;Magnuszewska 6
461000;204;85-796;W. Andersa 2
461000;205;85-409;Szułczyńskiej 2
461000;206;83-260;Długa 9
208063;207;57-500;Strażacka 8
2462000;208;41-933;Łokietka 1
2462000;209;41-900;Pułaskiego 65
2462000;210;41-923;Frenzla 26
2462000;211;41-923;Daleka 32
2462000;212;41-902;Jainty 12
2462000;213;41-902;Łużycka 1
2462000;214;41-907;Zabrzańska 72
2462000;215;41-933;Strzelców Bytomskich 250D
2462000;216;41-902;Witczaka 4
2462000;217;41-909;Krzyżowa 32
2462000;218;41-907;Pomorska 2a
2462000;219;41-905;Konstytucji 37
2462000;220;41-902;Sandomierska 10
2462000;221;41-902;Strzelców Bytomskich 40
2462000;222;41-933;G. Narutowicza 11
804023;223;67-115;Polna 6
2401011;224;42-500;Małachowskiego 29
2401011;225;42-500;Zagórnego 1
2401011;226;42-500;Małobądzka 2
2401011;227;42-500;Piłsudskiego 83
2401011;228;42-500;Piastowska 29
2401011;229;42-500;Żwirki i Wigury 6
2401011;230;42-504;Niepodległości 3
1014023;231;98-235;Sieradzka 57
1816023;232;36-030;Armii Krajowej 39b
1432013;233;05-870;Poniatowskiego 18a
1432013;234;05-870;Romualda Traugutta 14
1432013;235;05-870;Grodziska 56
1406022;236;05-620;Sadurkowska 1
1412043;237;05-319;Dobrzyckiego 9
603032;238;22-100;Wojsławicka 6
