WOJ. LUBELSKIE;;2030509
  Powiat bialski;0601000;105752
    m. Międzyrzec Podlaski;0601011;15611
    m. Terespol;0601021;5197
    gm.w. Biała Podlaska;0601032;15224
    gm.w. Drelów;0601042;5100
    gm.w. Janów Podlaski;0601052;4962
    gm.w. Kodeń;0601062;3327
    gm.w. Konstantynów;0601072;3837
    gm.w. Leśna Podlaska;0601082;4029
    gm.w. Łomazy;0601092;4632
    gm.w. Międzyrzec Podlaski;0601102;10215
    gm.w. Piszczac;0601112;6763
    gm.w. Rokitno;0601122;2752
    gm.w. Rossosz;0601132;2104
    gm.w. Sławatycze;0601142;2285
    gm.w. Sosnówka;0601152;2189
    gm.w. Terespol;0601162;6136
    gm.w. Tuczna;0601172;2796
    gm.w. Wisznice;0601182;4512
    gm.w. Zalesie;0601192;4081
  Powiat biłgorajski;0602000;97352
    m. Biłgoraj;0602011;25173
    gm.w. Aleksandrów;0602022;3201
    gm.w. Biłgoraj;0602032;13593
    gm.w. Biszcza;0602042;3734
    gm.m-w. Frampol;0602053;5707
    gm.m-w. Goraj;0602063;3906
    gm.m-w. Józefów;0602073;6457
    gm.w. Księżpol;0602082;6721
    gm.w. Łukowa;0602092;3982
    gm.w. Obsza;0602102;4044
    gm.w. Potok Górny;0602112;5094
    gm.m-w. Tarnogród;0602123;6277
    gm.w. Tereszpol;0602132;3840
    gm.w. Turobin;0602142;5623
  Powiat chełmski;0603000;74550
    m. Rejowiec Fabryczny;0603011;4038
    gm.w. Białopole;0603022;2855
    gm.w. Chełm;0603032;15205
    gm.w. Dorohusk;0603042;5953
    gm.w. Dubienka;0603052;2110
    gm.w. Kamień;0603062;4079
    gm.w. Leśniowice;0603072;3357
    gm.w. Rejowiec Fabryczny;0603082;4051
    gm.w. Ruda-Huta;0603092;4179
    gm.w. Sawin;0603102;5180
    gm.m-w. Siedliszcze;0603113;6465
    gm.w. Wierzbica;0603122;4751
    gm.w. Wojsławice;0603132;3472
    gm.w. Żmudź;0603142;2821
    gm.m-w. Rejowiec;0603153;6034
  Powiat hrubieszowski;0604000;58093
    m. Hrubieszów;0604011;16390
    gm.w. Dołhobyczów;0604022;4757
    gm.w. Horodło;0604032;4875
    gm.w. Hrubieszów;0604042;9280
    gm.w. Mircze;0604052;6313
    gm.w. Trzeszczany;0604062;3799
    gm.w. Uchanie;0604072;4129
    gm.w. Werbkowice;0604082;8550
  Powiat janowski;0605000;43356
    gm.w. Batorz;0605012;3092
    gm.w. Chrzanów;0605022;2706
    gm.w. Dzwola;0605032;5983
    gm.w. Godziszów;0605042;5498
    gm.m-w. Janów Lubelski;0605053;14832
    gm.m-w. Modliborzyce;0605063;6776
    gm.w. Potok Wielki;0605072;4469
  Powiat krasnostawski;0606000;59946
    m. Krasnystaw;0606011;17573
    gm.w. Fajsławice;0606022;4506
    gm.w. Gorzków;0606032;3281
    gm.m-w. Izbica;0606043;7766
    gm.w. Krasnystaw;0606052;8206
