WOJ. LUBUSKIE;;982655
  Powiat gorzowski;0801000;73140
    m. Kostrzyn nad Odrą;0801011;17779
    gm.w. Bogdaniec;0801022;7138
    gm.w. Deszczno;0801032;10502
    gm.w. Kłodawa;0801042;9159
    gm.w. Lubiszyn;0801052;7037
    gm.w. Santok;0801062;9318
    gm.m-w. Witnica;0801073;12207
  Powiat krośnieński;0802000;53240
    m. Gubin;0802011;15857
    gm.w. Bobrowice;0802022;3068
    gm.w. Bytnica;0802032;2320
    gm.w. Dąbie;0802042;4927
    gm.w. Gubin;0802052;7179
    gm.m-w. Krosno Odrzańskie;0802063;17170
    gm.w. Maszewo;0802072;2719
  Powiat międzyrzecki;0803000;55476
    gm.w. Bledzew;0803012;3991
    gm.m-w. Międzyrzecz;0803023;23971
    gm.w. Przytoczna;0803032;5382
    gm.w. Pszczew;0803042;4234
    gm.m-w. Skwierzyna;0803053;11639
    gm.m-w. Trzciel;0803063;6259
  Powiat nowosolski;0804000;82777
    m. Nowa Sól;0804011;36479
    gm.m-w. Bytom Odrzański;0804023;5118
    gm.w. Kolsko;0804032;3250
    gm.m-w. Kożuchów;0804043;15328
    gm.w. Nowa Sól;0804052;7216
    gm.m-w. Nowe Miasteczko;0804063;5040
    gm.m-w. Otyń;0804073;6998
    gm.w. Siedlisko;0804082;3348
  Powiat słubicki;0805000;46046
    gm.m-w. Cybinka;0805013;6259
    gm.w. Górzyca;0805022;4086
    gm.m-w. Ośno Lubuskie;0805033;6238
    gm.m-w. Rzepin;0805043;9412
    gm.m-w. Słubice;0805053;20051
  Powiat strzelecko-drezdeneck;0806000;47216
    gm.m-w. Dobiegniew;0806013;6217
    gm.m-w. Drezdenko;0806023;16534
    gm.w. Stare Kurowo;0806032;3940
    gm.m-w. Strzelce Krajeński;0806043;16353
    gm.w. Zwierzyn;0806052;4172
  Powiat sulęciński;0807000;33876
    gm.w. Krzeszyce;0807012;4551
    gm.m-w. Lubniewice;0807023;3032
    gm.w. Słońsk;0807032;4681
    gm.m-w. Sulęcin;0807043;15217
    gm.m-w. Torzym;0807053;6395
  Powiat świebodziński;0808000;54447
    gm.w. Lubrza;0808012;3594
    gm.w. Łagów;0808022;4785
    gm.w. Skąpe;0808032;5152
    gm.w. Szczaniec;0808042;3691
    gm.m-w. Świebodzin;0808053;29143
    gm.m-w. Zbąszynek;0808063;8082
  Powiat zielonogórski;0809000;74943
    gm.m-w. Babimost;0809013;6115
    gm.w. Bojadła;0809022;3198
    gm.m-w. Czerwieńsk;0809033;10021
    gm.m-w. Kargowa;0809043;5902
    gm.m-w. Nowogród Bobrzańsk;0809053;9044
    gm.m-w. Sulechów;0809063;26037
    gm.w. Świdnica;0809072;6811
    gm.w. Trzebiechów;0809082;3189
    gm.w. Zabór;0809092;4626
  Powiat żagański;0810000;74742
    m. Gozdnica;0810011;2794
    m. Żagań;0810021;23949
    gm.w. Brzeźnica;0810032;3503
    gm.m-w. Iłowa;0810043;6448
    gm.m-w. Małomice;0810053;5149
    gm.w. Niegosławice;0810062;4267
    gm.m-w. Szprotawa;0810073;19356
    gm.w. Wymiarki;0810082;2109
    gm.w. Żagań;0810092;7167
  Powiat żarski;0811000;92340
    m. Łęknica;0811011;2280
    m. Żary;0811021;35468
    gm.w. Brody;0811032;3209
    gm.m-w. Jasień;0811043;6753
    gm.w. Lipinki Łużyckie;0811052;3292
    gm.m-w. Lubsko;0811063;17461
    gm.w. Przewóz;0811072;3033
    gm.w. Trzebiel;0811082;5516
    gm.w. Tuplice;0811092;2959
    gm.w. Żary;0811102;12369
  Powiat wschowski;0812000;37530
    gm.m-w. Sława;0812013;12430
    gm.m-w. Szlichtyngowa;0812023;4829
    gm.m-w. Wschowa;0812033;20271
Miasta na prawach powiatu:;;
Cities with powiat status:;;
Gorzów Wielkopolski;0861000;117379
Zielona Góra;0862000;139503
