WOJ. MAZOWIECKIE;;5511491
  Powiat białobrzeski;1401000;32667
    gm.m-w. Białobrzegi;1401013;9816
    gm.w. Promna;1401022;5488
    gm.w. Radzanów;1401032;3789
    gm.w. Stara Błotnica;1401042;5460
    gm.w. Stromiec;1401052;5435
    gm.m-w. Wyśmierzyce;1401063;2679
  Powiat ciechanowski;1402000;85867
    m. Ciechanów;1402011;42239
    gm.w. Ciechanów;1402022;7435
    gm.m-w. Glinojeck;1402033;7229
    gm.w. Gołymin-Ośrodek;1402042;3544
    gm.w. Grudusk;1402052;3362
    gm.w. Ojrzeń;1402062;4135
    gm.w. Opinogóra Górna;1402072;5797
    gm.w. Regimin;1402082;4736
    gm.w. Sońsk;1402092;7390
  Powiat garwoliński;1403000;105783
    m. Garwolin;1403011;17322
    m. Łaskarzew;1403021;4520
    gm.w. Borowie;1403032;4952
    gm.w. Garwolin;1403042;13385
    gm.w. Górzno;1403052;6667
    gm.w. Łaskarzew;1403062;5274
    gm.w. Maciejowice;1403072;6461
    gm.w. Miastków Kościelny;1403082;4616
    gm.w. Parysów;1403092;4122
    gm.m-w. Pilawa;1403103;10555
    gm.w. Sobolew;1403112;7836
    gm.w. Trojanów;1403122;7108
    gm.w. Wilga;1403132;5114
    gm.m-w. Żelechów;1403143;7851
  Powiat gostyniński;1404000;42846
    m. Gostynin;1404011;17396
    gm.w. Gostynin;1404022;11774
    gm.w. Pacyna;1404032;3321
    gm.m-w. Sanniki;1404043;5678
    gm.w. Szczawin Kościelny;1404052;4677
  Powiat grodziski;1405000;103920
    m. Milanówek;1405011;16467
    m. Podkowa Leśna;1405021;3873
    gm.w. Baranów;1405032;5547
    gm.m-w. Grodzisk Mazowieck;1405043;54122
    gm.w. Jaktorów;1405052;13261
    gm.w. Żabia Wola;1405062;10650
  Powiat grójecki;1406000;97594
    gm.w. Belsk Duży;1406012;6261
    gm.w. Błędów;1406022;7117
    gm.w. Chynów;1406032;10152
    gm.w. Goszczyn;1406042;2866
    gm.m-w. Grójec;1406053;26234
    gm.w. Jasieniec;1406062;5367
    gm.m-w. Mogielnica;1406073;8261
    gm.m-w. Nowe Miasto nad Pi;1406083;7248
    gm.w. Pniewy;1406092;4808
    gm.m-w. Warka;1406113;19280
  Powiat kozienicki;1407000;57688
    gm.w. Garbatka-Letnisko;1407012;4775
    gm.w. Głowaczów;1407022;6761
    gm.w. Gniewoszów;1407032;3807
    gm.w. Grabów nad Pilicą;1407042;4018
    gm.m-w. Kozienice;1407053;28119
    gm.w. Magnuszew;1407062;6445
    gm.w. Sieciechów;1407072;3763
  Powiat legionowski;1408000;129733
    m. Legionowo;1408011;52913
    gm.w. Jabłonna;1408022;22817
    gm.w. Nieporęt;1408032;16946
    gm.m-w. Serock;1408043;17093
    gm.w. Wieliszew;1408052;19964
  Powiat lipski;1409000;31965
    gm.w. Chotcza;1409012;2227
    gm.w. Ciepielów;1409022;5259
    gm.m-w. Lipsko;1409033;10190
    gm.w. Rzeczniów;1409042;4086
    gm.w. Sienno;1409052;5582
    gm.m-w. Solec nad Wisłą;1409063;4621
  Powiat łosicki;1410000;29163
    gm.w. Huszlew;1410012;2669
    gm.m-w. Łosice;1410023;10566
    gm.w. Olszanka;1410032;2770
    gm.w. Platerów;1410042;4482
    gm.w. Sarnaki;1410052;4238
    gm.w. Stara Kornica;1410062;4438
  Powiat makowski;1411000;42293
    m. Maków Mazowiecki;1411011;9028
    gm.w. Czerwonka;1411022;2548
    gm.w. Karniewo;1411032;4896
    gm.w. Krasnosielc;1411042;5947
    gm.w. Młynarze;1411052;1628
    gm.w. Płoniawy-Bramura;1411062;4984
    gm.m-w. Różan;1411073;4289
    gm.w. Rzewnie;1411082;2440
    gm.w. Sypniewo;1411092;2974
    gm.w. Szelków;1411102;3559
  Powiat miński;1412000;158893
    m. Mińsk Mazowiecki;1412011;40297
    gm.m-w. Cegłów;1412043;6096
    gm.w. Dębe Wielkie;1412052;11562
    gm.w. Dobre;1412062;5852
    gm.m-w. Halinów;1412073;18042
    gm.w. Jakubów;1412082;5085
    gm.m-w. Kałuszyn;1412093;5558
    gm.w. Latowicz;1412102;5178
    gm.w. Mińsk Mazowiecki;1412112;16698
    gm.m-w. Mrozy;1412123;8596
    gm.w. Siennica;1412132;7620
    gm.w. Stanisławów;1412142;7004
    m. Sulejówek;1412151;21305
  Powiat mławski;1413000;69657
    m. Mława;1413011;30860
    gm.w. Dzierzgowo;1413022;2812
    gm.w. Lipowiec Kościelny;1413032;4511
    gm.w. Radzanów;1413042;3001
    gm.w. Strzegowo;1413052;7134
    gm.w. Stupsk;1413062;4494
    gm.w. Szreńsk;1413072;3835
    gm.w. Szydłowo;1413082;4225
    gm.w. Wieczfnia Kościelna;1413092;3692
    gm.w. Wiśniewo;1413102;5093
  Powiat nowodworski;1414000;79827
    m. Nowy Dwór Mazowiecki;1414011;28657
    gm.w. Czosnów;1414022;10999
    gm.w. Leoncin;1414032;5586
    gm.m-w. Nasielsk;1414043;19354
    gm.w. Pomiechówek;1414052;9295
    gm.m-w. Zakroczym;1414063;5936
  Powiat ostrołęcki;1415000;87470
    gm.w. Baranowo;1415012;6037
    gm.w. Czarnia;1415022;2260
    gm.w. Czerwin;1415032;4762
    gm.w. Goworowo;1415042;7883
    gm.w. Kadzidło;1415052;11020
    gm.w. Lelis;1415062;9866
    gm.w. Łyse;1415072;8232
    gm.m-w. Myszyniec;1415083;10122
    gm.w. Olszewo-Borki;1415092;10968
    gm.w. Rzekuń;1415102;11761
    gm.w. Troszyn;1415112;4559
  Powiat ostrowski;1416000;69121
    m. Ostrów Mazowiecka;1416011;21705
    gm.w. Andrzejewo;1416022;3801
    gm.w. Boguty-Pianki;1416032;2416
    gm.m-w. Brok;1416043;2599
    gm.w. Małkinia Górna;1416052;10879
    gm.w. Nur;1416062;2537
    gm.w. Ostrów Mazowiecka;1416072;12726
    gm.w. Stary Lubotyń;1416082;3589
    gm.w. Szulborze Wielkie;1416092;1549
