WOJ. OPOLSKIE;;945179
  Powiat brzeski;1601000;87000
    m. Brzeg;1601011;33962
    gm.w. Skarbimierz;1601022;8612
    gm.m-w. Grodków;1601033;18177
    gm.m-w. Lewin Brzeski;1601043;12517
    gm.w. Lubsza;1601052;8963
    gm.w. Olszanka;1601062;4769
  Powiat głubczycki;1602000;43311
    gm.m-w. Baborów;1602013;5740
    gm.w. Branice;1602022;6295
    gm.m-w. Głubczyce;1602033;21139
    gm.m-w. Kietrz;1602043;10137
  Powiat kędzierzyńsko-koziels;1603000;87450
    m. Kędzierzyn-Koźle;1603011;55623
    gm.w. Bierawa;1603022;7519
    gm.w. Cisek;1603032;5350
    gm.w. Pawłowiczki;1603042;7097
    gm.w. Polska Cerekiew;1603052;3773
    gm.w. Reńska Wieś;1603062;8088
  Powiat kluczborski;1604000;62000
    gm.m-w. Byczyna;1604013;8753
    gm.m-w. Kluczbork;1604023;34441
    gm.w. Lasowice Wielkie;1604032;6388
    gm.m-w. Wołczyn;1604043;12418
  Powiat krapkowicki;1605000;60082
    gm.m-w. Gogolin;1605013;11658
    gm.m-w. Krapkowice;1605023;21766
    gm.w. Strzeleczki;1605032;7229
    gm.w. Walce;1605042;5169
    gm.m-w. Zdzieszowice;1605053;14260
  Powiat namysłowski;1606000;42246
    gm.w. Domaszowice;1606012;3485
    gm.m-w. Namysłów;1606023;26377
    gm.w. Pokój;1606032;5075
    gm.w. Świerczów;1606042;3089
    gm.w. Wilków;1606052;4220
  Powiat nyski;1607000;129856
    gm.m-w. Głuchołazy;1607013;22654
    gm.w. Kamiennik;1607022;3206
    gm.m-w. Korfantów;1607033;8458
    gm.w. Łambinowice;1607042;7253
    gm.m-w. Nysa;1607053;54514
    gm.m-w. Otmuchów;1607063;12922
    gm.m-w. Paczków;1607073;11573
    gm.w. Pakosławice;1607082;3364
    gm.w. Skoroszyce;1607092;5912
  Powiat oleski;1608000;61768
    gm.m-w. Dobrodzień;1608013;9155
    gm.m-w. Gorzów Śląski;1608023;7009
    gm.m-w. Olesno;1608033;17285
    gm.m-w. Praszka;1608043;13002
    gm.w. Radłów;1608052;4096
    gm.w. Rudniki;1608062;7737
    gm.w. Zębowice;1608072;3484
  Powiat opolski;1609000;120808
    gm.w. Chrząstowice;1609012;7053
    gm.w. Dąbrowa;1609022;8190
    gm.w. Dobrzeń Wielki;1609032;9154
    gm.w. Komprachcice;1609042;9232
    gm.w. Łubniany;1609052;10085
    gm.w. Murów;1609062;5085
    gm.m-w. Niemodlin;1609073;12658
    gm.m-w. Ozimek;1609083;18531
    gm.w. Popielów;1609092;7736
    gm.m-w. Prószków;1609103;8884
    gm.w. Tarnów Opolski;1609112;9363
    gm.m-w. Tułowice;1609123;4976
    gm.w. Turawa;1609132;9861
  Powiat prudnicki;1610000;52186
    gm.m-w. Biała;1610013;9973
    gm.m-w. Głogówek;1610023;12714
    gm.w. Lubrza;1610032;4154
    gm.m-w. Prudnik;1610043;25345
  Powiat strzelecki;1611000;71849
    gm.w. Izbicko;1611012;5273
    gm.w. Jemielnica;1611022;6997
    gm.m-w. Kolonowskie;1611033;5709
    gm.m-w. Leśnica;1611043;7513
    gm.m-w. Strzelce Opolskie;1611053;29424
    gm.m-w. Ujazd;1611063;6342
    gm.m-w. Zawadzkie;1611073;10591
Miasto na prawach powiatu:;;
City with powiat status:;;
Opole;1661011;126623
