WOJ. WIELKOPOLSKIE;;3496307
  Powiat chodzieski;3001000;45636
    m. Chodzież;3001011;17722
    gm.m-w. Budzyń;3001023;8326
    gm.w. Chodzież;3001032;6051
    gm.m-w. Margonin;3001043;6342
    gm.m-w. Szamocin;3001053;7195
  Powiat czarnkowsko-trzcianec;3002000;84302
    m. Czarnków;3002011;10146
    gm.w. Czarnków;3002022;11155
    gm.w. Drawsko;3002032;5615
    gm.m-w. Krzyż Wielkopolski;3002043;8359
    gm.w. Lubasz;3002052;7540
    gm.w. Połajewo;3002062;6039
    gm.m-w. Trzcianka;3002073;23586
    gm.m-w. Wieleń;3002083;11862
  Powiat gnieźnieński;3003000;141941
    m. Gniezno;3003011;64535
    gm.m-w. Czerniejewo;3003023;7225
    gm.w. Gniezno;3003032;14027
    gm.w. Kiszkowo;3003042;5207
    gm.m-w. Kłecko;3003053;7211
    gm.w. Łubowo;3003062;7112
    gm.w. Mieleszyn;3003072;3713
    gm.w. Niechanowo;3003082;5989
    gm.m-w. Trzemeszno;3003093;13855
    gm.m-w. Witkowo;3003103;13067
  Powiat gostyński;3004000;73963
    gm.m-w. Borek Wielkopolski;3004013;7095
    gm.m-w. Gostyń;3004023;27866
    gm.m-w. Krobia;3004033;12694
    gm.w. Pępowo;3004042;5770
    gm.w. Piaski;3004052;8316
    gm.m-w. Pogorzela;3004063;4682
    gm.m-w. Poniec;3004073;7540
  Powiat grodziski;3005000;51528
    gm.w. Granowo;3005012;5025
    gm.m-w. Grodzisk Wielkopol;3005023;20364
    gm.w. Kamieniec;3005032;6225
    gm.m-w. Rakoniewice;3005043;13221
    gm.m-w. Wielichowo;3005053;6693
  Powiat jarociński;3006000;70111
    gm.m-w. Jaraczewo;3006013;7682
    gm.m-w. Jarocin;3006023;45608
    gm.w. Kotlin;3006032;7025
    gm.m-w. Żerków;3006043;9796
  Powiat kaliski;3007000;82634
    gm.w. Blizanów;3007012;10145
    gm.w. Brzeziny;3007022;5730
    gm.w. Ceków-Kolonia;3007032;4778
    gm.w. Godziesze Wielkie;3007042;10071
    gm.m-w. Koźminek;3007053;7366
    gm.w. Lisków;3007062;5176
    gm.w. Mycielin;3007072;4689
    gm.m-w. Opatówek;3007083;10668
    gm.m-w. Stawiszyn;3007093;6780
    gm.w. Szczytniki;3007102;7611
    gm.w. Żelazków;3007112;9620
  Powiat kępiński;3008000;56183
    gm.w. Baranów;3008012;8272
    gm.w. Bralin;3008022;6085
    gm.m-w. Kępno;3008033;24328
    gm.w. Łęka Opatowska;3008042;5167
    gm.w. Perzów;3008052;3785
    gm.w. Rychtal;3008062;3630
    gm.w. Trzcinica;3008072;4916
  Powiat kolski;3009000;82314
    m. Koło;3009011;19862
    gm.w. Babiak;3009022;7428
    gm.w. Chodów;3009032;2826
    gm.m-w. Dąbie;3009043;5814
    gm.w. Grzegorzew;3009052;5395
    gm.m-w. Kłodawa;3009063;11950
    gm.w. Koło;3009072;7930
    gm.w. Kościelec;3009082;6761
    gm.w. Olszówka;3009092;4190
    gm.w. Osiek Mały;3009102;6222
    gm.m-w. Przedecz;3009113;3936
