WOJ. ŚLĄSKIE;;4359954
  Powiat będziński;2401000;145899
    m. Będzin;2401011;54720
    m. Czeladź;2401021;30317
    m. Wojkowice;2401031;8540
    gm.w. Bobrowniki;2401042;12432
    gm.w. Mierzęcice;2401052;7923
    gm.w. Psary;2401062;12334
    gm.m-w. Siewierz;2401073;12741
    m. Sławków;2401081;6892
  Powiat bielski;2402000;165721
    m. Szczyrk;2402011;5402
    gm.w. Bestwina;2402022;12142
    gm.w. Buczkowice;2402032;11218
    gm.m-w. Czechowice-Dziedzi;2402043;44581
    gm.w. Jasienica;2402052;25055
    gm.w. Jaworze;2402062;7373
    gm.w. Kozy;2402072;13106
    gm.w. Porąbka;2402082;15440
    gm.m-w. Wilamowice;2402093;18063
    gm.w. Wilkowice;2402102;13341
  Powiat cieszyński;2403000;175826
    m. Cieszyn;2403011;33486
    m. Ustroń;2403021;16023
    m. Wisła;2403031;10716
    gm.w. Brenna;2403042;11741
    gm.w. Chybie;2403052;9636
    gm.w. Dębowiec;2403062;5769
    gm.w. Goleszów;2403072;13156
    gm.w. Hażlach;2403082;10766
    gm.w. Istebna;2403092;12153
    gm.m-w. Skoczów;2403103;26331
    gm.m-w. Strumień;2403113;13232
    gm.w. Zebrzydowice;2403122;12817
  Powiat częstochowski;2404000;132171
    gm.m-w. Blachownia;2404013;12597
    gm.w. Dąbrowa Zielona;2404022;3639
    gm.w. Janów;2404032;5861
    gm.w. Kamienica Polska;2404042;5419
    gm.w. Kłomnice;2404052;13003
    gm.m-w. Koniecpol;2404063;8813
    gm.w. Konopiska;2404072;10769
    gm.w. Kruszyna;2404082;4680
    gm.w. Lelów;2404092;4608
    gm.w. Mstów;2404102;10802
    gm.w. Mykanów;2404112;15325
    gm.m-w. Olsztyn;2404123;8194
    gm.w. Poczesna;2404132;12475
    gm.w. Przyrów;2404142;3564
    gm.w. Rędziny;2404152;9563
    gm.w. Starcza;2404162;2859
  Powiat gliwicki;2405000;113226
    m. Knurów;2405011;36044
    m. Pyskowice;2405021;17194
    gm.w. Gierałtowice;2405032;12568
    gm.w. Pilchowice;2405042;12471
    gm.w. Rudziniec;2405052;10842
    gm.m-w. Sośnicowice;2405063;8975
    gm.m-w. Toszek;2405073;9275
    gm.w. Wielowieś;2405082;5857
  Powiat kłobucki;2406000;82530
    gm.m-w. Kłobuck;2406013;19824
    gm.m-w. Krzepice;2406023;8602
    gm.w. Lipie;2406032;6006
    gm.w. Miedźno;2406042;7448
    gm.w. Opatów;2406052;6615
    gm.w. Panki;2406062;4882
    gm.w. Popów;2406072;5765
    gm.w. Przystajń;2406082;5708
    gm.w. Wręczyca Wielka;2406092;17680
  Powiat lubliniecki;2407000;75224
    m. Lubliniec;2407011;23406
    gm.w. Boronów;2407022;3316
    gm.w. Ciasna;2407032;7277
    gm.w. Herby;2407042;6454
    gm.w. Kochanowice;2407052;6940
    gm.w. Koszęcin;2407062;11898
    gm.w. Pawonków;2407072;6517
    gm.m-w. Woźniki;2407083;9416
  Powiat mikołowski;2408000;99599
