WOJ. ŚWIĘTOKRZYSKIE;;1182161
  Powiat buski;2601000;68607
    gm.m-w. Busko-Zdrój;2601013;30977
    gm.w. Gnojno;2601022;4247
    gm.m-w. Nowy Korczyn;2601033;5515
    gm.m-w. Pacanów;2601043;6969
    gm.w. Solec-Zdrój;2601052;4905
    gm.m-w. Stopnica;2601063;7208
    gm.w. Tuczępy;2601072;3621
    gm.m-w. Wiślica;2601083;5165
  Powiat jędrzejowski;2602000;82087
    gm.w. Imielno;2602012;4189
    gm.m-w. Jędrzejów;2602023;26941
    gm.m-w. Małogoszcz;2602033;11135
    gm.w. Nagłowice;2602042;4724
    gm.w. Oksa;2602052;4396
    gm.m-w. Sędziszów;2602063;11891
    gm.w. Słupia;2602072;3951
    gm.w. Sobków;2602082;8386
    gm.m-w. Wodzisław;2602093;6474
  Powiat kazimierski;2603000;32062
    gm.w. Bejsce;2603012;3881
    gm.w. Czarnocin;2603022;3629
    gm.m-w. Kazimierza Wielka;2603033;15319
    gm.m-w. Opatowiec;2603043;3030
    gm.m-w. Skalbmierz;2603053;6203
  Powiat kielecki;2604000;211700
    gm.w. Bieliny;2604012;10010
    gm.m-w. Bodzentyn;2604023;11064
    gm.m-w. Chęciny;2604033;14854
    gm.m-w. Chmielnik;2604043;10828
    gm.m-w. Daleszyce;2604053;16251
    gm.w. Górno;2604062;15078
    gm.m-w. Łagów;2604073;6603
    gm.w. Łopuszno;2604082;8762
    gm.w. Masłów;2604092;11819
    gm.w. Miedziana Góra;2604102;12442
    gm.w. Mniów;2604112;9117
    gm.m-w. Morawica;2604123;17626
    gm.m-w. Nowa Słupia;2604133;8998
    gm.w. Piekoszów;2604142;16807
    gm.m-w. Pierzchnica;2604153;4771
    gm.w. Raków;2604162;5292
    gm.w. Nowiny;2604172;7996
    gm.w. Strawczyn;2604182;11077
    gm.w. Zagnańsk;2604192;12305
  Powiat konecki;2605000;74951
    gm.w. Fałków;2605012;4023
    gm.w. Gowarczów;2605022;4438
    gm.m-w. Końskie;2605033;33026
    gm.m-w. Radoszyce;2605043;8236
    gm.w. Ruda Maleniecka;2605052;2895
    gm.w. Słupia Konecka;2605062;3040
    gm.w. Smyków;2605072;3691
    gm.m-w. Stąporków;2605083;15602
  Powiat opatowski;2606000;49110
    gm.w. Baćkowice;2606012;4600
    gm.m-w. Iwaniska;2606023;6173
    gm.w. Lipnik;2606032;4872
    gm.m-w. Opatów;2606043;10943
    gm.m-w. Ożarów;2606053;10241
    gm.w. Sadowie;2606062;3791
    gm.w. Tarłów;2606072;4673
    gm.w. Wojciechowice;2606082;3817
  Powiat ostrowiecki;2607000;101833
    m. Ostrowiec Świętokrzyski;2607011;63394
    gm.w. Bałtów;2607022;3178
    gm.w. Bodzechów;2607032;12738
    gm.m-w. Ćmielów;2607043;6816
    gm.m-w. Kunów;2607053;9296
    gm.w. Waśniów;2607062;6411
  Powiat pińczowski;2608000;37157
    gm.m-w. Działoszyce;2608013;4640
    gm.w. Kije;2608022;4287
    gm.w. Michałów;2608032;4443
    gm.m-w. Pińczów;2608043;19524
    gm.w. Złota;2608052;4263
  Powiat sandomierski;2609000;73023
    m. Sandomierz;2609011;21764
    gm.w. Dwikozy;2609022;8267
    gm.m-w. Klimontów;2609033;7545
    gm.m-w. Koprzywnica;2609043;6288
    gm.w. Łoniów;2609052;7224
    gm.w. Obrazów;2609062;6188
    gm.w. Samborzec;2609072;8176
    gm.w. Wilczyce;2609082;3477
    gm.m-w. Zawichost;2609093;4094
  Powiat skarżyski;2610000;69539
    m. Skarżysko-Kamienna;2610011;42099
    gm.w. Bliżyn;2610022;7587
    gm.w. Łączna;2610032;4916
    gm.w. Skarżysko Kościelne;2610042;5576
    gm.m-w. Suchedniów;2610053;9361
  Powiat starachowicki;2611000;84897
    m. Starachowice;2611011;45321
    gm.w. Brody;2611022;10284
    gm.w. Mirzec;2611032;7993
    gm.w. Pawłów;2611042;14878
    gm.m-w. Wąchock;2611053;6421
  Powiat staszowski;2612000;69241
    gm.w. Bogoria;2612012;7464
    gm.w. Łubnice;2612022;3964
    gm.m-w. Oleśnica;2612033;3783
    gm.m-w. Osiek;2612043;7433
    gm.m-w. Połaniec;2612053;11158
    gm.w. Rytwiany;2612062;6288
    gm.m-w. Staszów;2612073;24765
    gm.m-w. Szydłów;2612083;4386
  Powiat włoszczowski;2613000;43434
    gm.w. Kluczewsko;2613012;4946
    gm.w. Krasocin;2613022;10216
    gm.w. Moskorzew;2613032;2560
    gm.w. Radków;2613042;2314
    gm.w. Secemin;2613052;4595
    gm.m-w. Włoszczowa;2613063;18803
Miasto na prawach powiatu:;;
City with powiat status:;;
Kielce;2661000;184520
